time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130114:0000,-8.5,36.95,0,0,0,224.85,2.34,266,83360
20130114:0100,-7.96,35.45,125.35,370.61,81.15,233.5,2.55,274,83450
20130114:0200,-6.04,33,247.9,397.24,137.6,220.4,2.83,288,83520
20130114:0300,-4.17,33.45,370.15,590.3,132.8,221.4,4.83,305,83540
20130114:0400,-3.11,33.75,469.75,660.26,150.15,210.95,6.76,314,83530
20130114:0500,-2.34,32.55,477.55,654.39,138.6,209.4,6.9,318,83450
20130114:0600,-1.93,32.7,466.25,694.28,118.05,207.05,6.48,325,83370
20130114:0700,-2.06,34,355.65,613.86,88.1,205.3,6.41,329,83350
20130114:0800,-2.21,34,213.55,380.13,89.85,202.2,6,330,83400
20130114:0900,-2.44,34,53.95,91.99,37.6,205.5,5.1,322,83470
20130114:1000,-3.08,36.8,0,0,0,209.95,2.97,316,83550
20130114:1100,-3.6,38.3,0,0,0,221.95,1.72,295,83570
20130114:1200,-4.1,39.85,0,0,0,228.55,1.66,259,83620
20130114:1300,-4.54,39.85,0,0,0,229.9,1.72,246,83630
20130114:1400,-5.17,43.15,0,0,0,218.1,1.86,238,83640
20130114:1500,-6.09,46.75,0,0,0,201.45,2,231,83640
20130114:1600,-7.14,50.7,0,0,0,195.25,2,224,83640
20130114:1700,-8.16,55.05,0,0,0,193.9,1.93,219,83620
20130114:1800,-9.15,59.75,0,0,0,192.35,1.79,217,83590
20130114:1900,-10.05,57.2,0,0,0,189.25,2.21,214,83550
20130114:2000,-10.81,62.15,0,0,0,187.5,2.07,216,83540
20130114:2100,-11.53,64.8,0,0,0,186.15,1.86,218,83490
20130114:2200,-12.12,70.5,0,0,0,185.6,1.79,219,83450
20130114:2300,-12.63,73.55,0,0,0,183.85,1.86,217,83450
20130115:0000,-13.07,70.4,0,0,0,183.45,1.86,212,83470
20130115:0100,-12.91,70.4,184.5,1109.27,50.9,183.15,1.72,207,83500
20130115:0200,-9.29,57.2,353.55,1013.58,70.55,185.4,1.45,204,83540
20130115:0300,-5.23,43.15,483.45,991.8,82.75,188.3,1.52,196,83530
20130115:0400,-2.5,35.55,559.3,970.91,87.1,192.35,1.31,187,83490
20130115:0500,-0.55,33,570.15,925.09,88.55,196.2,1.1,179,83410
20130115:0600,0.7,29.4,517.6,857.78,84.9,199.15,0.9,170,83320
20130115:0700,1.28,29.4,404.85,749.03,76.05,200.1,0.48,135,83280
20130115:0800,1.56,28.3,245.95,565.06,60.25,200.3,0.97,47,83300
20130115:0900,1.39,28.15,73,254.72,26.9,199.15,1.79,38,83340
20130115:1000,0.23,29.25,0.05,0,0.05,196.6,1.86,39,83400
20130115:1100,-1.82,42.35,0,0,0,194.85,1.45,44,83450
20130115:1200,-1.93,31.35,0,0,0,193.7,0.9,52,83520
20130115:1300,-2.52,32.55,0,0,0,193.15,0.28,40,83540
20130115:1400,-3.25,35.25,0,0,0,191.95,0.55,288,83590
20130115:1500,-4.45,36.5,0,0,0,191.95,0.97,279,83620
20130115:1600,-5.73,41.15,0,0,0,191,1.24,271,83640
20130115:1700,-6.99,44.65,0,0,0,190.05,1.45,267,83650
20130115:1800,-8.12,48.25,0,0,0,188.5,1.59,264,83680
20130115:1900,-8.63,50.3,0,0,0,198.55,1.72,265,83720
20130115:2000,-8.38,48.25,0,0,0,220.6,1.52,282,83740
20130115:2100,-8.73,48.1,0,0,0,204.35,1.45,287,83730
20130115:2200,-9.1,50.15,0,0,0,194.1,1.38,281,83750
20130115:2300,-9.91,48,0,0,0,184.4,1.31,275,83780
20130116:0000,-10.62,52.15,0,0,0,180.75,1.31,270,83840
20130116:0100,-10.88,52.15,187.95,1117.3,51.95,179.3,1.31,260,83900
20130116:0200,-8.5,46.2,360.35,1028.28,71.55,180.75,0.97,252,83980
20130116:0300,-4.58,34.8,493.8,1013.57,82.25,182.5,0.9,271,83990
20130116:0400,-2.67,31.05,570.5,988.25,87.5,185.4,0.83,324,83970
20130116:0500,-1.4,28.85,582.75,944.81,88.3,187.5,1.17,354,83900
20130116:0600,-0.56,27.75,528.95,875.77,84.55,188.5,1.52,8,83820
20130116:0700,-0.39,26.7,415.5,767.93,75.95,188.85,1.86,28,83790
20130116:0800,-0.26,26.7,254.75,584.75,60.65,188.1,2.34,37,83820
20130116:0900,-0.67,27.75,78.05,271.6,28,186.75,2.76,47,83840
20130116:1000,-1.94,28.7,0.1,0,0.1,184.4,2.55,56,83900
20130116:1100,-3.49,30.9,0,0,0,182.7,2.62,66,83930
